,,account_id,average_price,direction,exchange,frozen,instrument,position,position_profit,yesterday_position
2018-01-30,67,test0_12940567,13.394016999999998,,SZ,0,002024,100,6.598300000000279,0
2018-01-30,68,test0_12940567,20.596176999999997,,SZ,0,002555,100,-36.61769999999969,0
2018-01-30,69,test0_12940567,4.561367999999999,,SZ,0,000157,100,-6.136799999999898,0
2018-01-30,70,test0_12940567,7.782333999999999,,SH,0,601377,100,-7.233399999999879,0
2018-01-30,71,test0_12940567,11.213363,,SH,0,601933,100,7.663699999999984,0
2018-01-30,72,test0_12940567,13.143942,,SZ,0,300017,100,-108.39419999999987,0
2018-01-30,73,test0_12940567,7.162147999999999,,SH,0,601375,100,2.78520000000011,0
2018-01-30,74,test0_12940567,7.612283,,SH,0,601117,100,-14.228299999999994,0
2018-01-30,75,test0_12940567,34.99049399999999,,SH,0,600585,100,-97.0493999999988,0
2018-01-30,76,test0_12940567,3.9311789999999998,,SH,0,600170,100,-5.117899999999986,0
2018-01-30,77,test0_12940567,9.532858999999998,,SH,0,600606,100,-41.28589999999992,0
2018-01-30,78,test0_12940567,16.995097,,SH,0,600048,100,-47.509700000000166,0
2018-01-30,79,test0_12940567,7.802339999999999,,SZ,0,000961,100,-15.233999999999881,0
2018-01-30,80,test0_12940567,13.043912,,SZ,0,002673,100,-9.391200000000133,0
2018-01-30,81,test0_12940567,4.171251,,SZ,0,000709,100,-8.125099999999996,0
2018-01-30,82,test0_12940567,14.154244999999998,,SH,0,600837,100,-19.42449999999969,0
2018-01-30,83,test0_12940567,7.582274,,SH,0,601669,100,-12.2274,0
2018-01-30,84,test0_12940567,3.5310589999999995,,SH,0,601866,100,-4.105899999999929,0
2018-01-30,85,test0_12940567,8.492547,,SZ,0,000876,100,-22.25470000000005,0
2018-01-30,86,test0_12940567,25.217563,,SZ,0,002236,100,137.24370000000016,0
2018-01-30,87,test0_12940567,23.066918,,SZ,0,000623,100,-7.691800000000271,0
2018-01-30,88,test0_12940567,14.904469999999998,,SH,0,600958,100,-7.446999999999804,0
2018-01-30,89,test0_12940567,12.783833999999999,,SH,0,600153,100,-14.383399999999824,0
2018-01-30,90,test0_12940567,9.212762999999999,,SH,0,600016,100,-20.276299999999914,0
2018-01-30,91,test0_12940567,4.721416,,SH,0,601216,100,-1.1415999999999649,0
2018-01-30,92,test0_12940567,7.012103,,SH,0,601212,100,-21.210299999999993,0
2018-01-30,93,test0_12940567,17.335199000000003,,SH,0,601878,100,-8.519900000000291,0
2018-01-30,94,test0_12940567,7.622286,,SH,0,601985,100,-5.228599999999961,0
2018-01-30,95,test0_12940567,45.703706999999994,,SH,0,600009,100,42.629300000000825,0
2018-01-30,96,test0_12940567,26.187854,,SZ,0,300003,100,65.21459999999983,0
2018-01-30,97,test0_12940567,50.465135000000004,,SH,0,600570,100,174.48649999999972,0
2018-01-30,98,test0_12940567,73.271975,,SH,0,600276,100,82.80249999999967,0
2018-01-30,99,test0_12940567,25.467637999999997,,SZ,0,002153,100,-0.7637999999996481,0
2018-01-30,100,test0_12940567,37.621283,,SH,0,601012,100,55.871700000000146,0
2018-01-30,101,test0_12940567,16.094827,,SZ,0,300059,100,-21.482699999999788,0
2018-01-30,102,test0_12940567,34.480340999999996,,SH,0,600104,100,-6.034099999999398,0
2018-01-30,103,test0_12940567,26.147842,,SH,0,601088,100,-24.78420000000021,0
