,,deal_price,deal_time,deal_volume,direction,exchange,instrument,offset,order_id,trade_id
2018-04-10,1,16.654995,2018-04-10,100,,SZ,000776,open,order_97086154,deal_74091325
2018-04-10,2,8.352505,2018-04-10,100,,SH,600031,open,order_23785406,deal_79426803
2018-04-10,3,85.065512,2018-04-10,100,,SH,600436,open,order_29415837,deal_96472518
2018-04-10,4,7.400367,2018-04-10,100,,SH,601117,close,order_13962485,deal_40398251
2018-04-10,5,31.922045000000004,2018-04-10,100,,SZ,300124,close,order_53940672,deal_93841025
2018-04-10,6,12.214101000000001,2018-04-10,100,,SH,600061,close,order_83540279,deal_37185069
2018-04-10,7,47.024103,2018-04-10,100,,SZ,002714,open,order_40719632,deal_38740152
2018-04-10,8,6.80204,2018-04-10,100,,SH,601377,open,order_85746193,deal_62405783
2018-04-10,9,13.374011000000001,2018-04-10,100,,SH,601800,open,order_53780614,deal_01597238
2018-04-10,10,14.251449000000001,2018-04-10,100,,SH,600804,close,order_79508612,deal_75804196
2018-04-10,11,6.05091,2018-04-10,100,,SZ,300315,close,order_64192583,deal_56287940
2018-04-10,12,10.963288,2018-04-10,100,,SZ,002736,open,order_75831620,deal_94102583
2018-04-10,13,20.896266999999998,2018-04-10,100,,SZ,000623,open,order_50432971,deal_83179024
2018-04-11,0,13.464038,2018-04-11,100,,SZ,002081,open,order_84317295,deal_89637041
2018-04-11,1,22.496747,2018-04-11,100,,SZ,001979,open,order_62053814,deal_06793528
2018-04-11,2,22.446731999999997,2018-04-11,100,,SH,600518,open,order_48290356,deal_94671823
2018-04-11,3,7.552265,2018-04-11,100,,SH,601117,open,order_91426750,deal_41589072
2018-04-11,4,14.964488,2018-04-11,100,,SH,601997,open,order_93421750,deal_96230754
2018-04-11,5,7.982393999999999,2018-04-11,100,,SZ,000686,open,order_54671930,deal_71862905
2018-04-11,6,6.90207,2018-04-11,100,,SH,600028,open,order_50784912,deal_41308295
2018-04-11,7,9.032708999999999,2018-04-11,100,,SH,600177,open,order_91608725,deal_43507162
2018-04-11,8,50.05480500000001,2018-04-11,100,,SZ,300033,close,order_48360579,deal_25187694
2018-04-11,9,84.93943499999999,2018-04-11,100,,SH,600276,close,order_24617893,deal_67209381
2018-04-11,10,13.644092,2018-04-11,100,,SH,600111,open,order_08795214,deal_48167390
2018-04-11,11,42.392714,2018-04-11,100,,SZ,300015,open,order_75928361,deal_72345916
2018-04-11,12,5.731718999999999,2018-04-11,100,,SH,601228,open,order_80351974,deal_79013856
2018-04-11,13,13.193957000000001,2018-04-11,100,,SZ,002292,open,order_45876012,deal_09648125
2018-04-11,14,37.64128899999999,2018-04-11,100,,SH,601155,open,order_91436850,deal_13072849
2018-04-11,15,14.554365,2018-04-11,100,,SH,600048,open,order_78523614,deal_27589431
2018-04-12,0,17.485244,2018-04-12,100,,SH,601211,open,order_83652709,deal_51468239
2018-04-12,1,10.493146999999999,2018-04-12,100,,SZ,002146,open,order_91327045,deal_12985746
2018-04-12,2,7.50225,2018-04-12,100,,SH,601390,open,order_65280341,deal_50178926
2018-04-12,3,19.01144,2018-04-12,100,,SZ,002310,close,order_73284960,deal_35641920
2018-04-12,4,27.234549,2018-04-12,100,,SH,600498,close,order_46935082,deal_87960341
2018-04-12,5,42.874191,2018-04-12,100,,SH,600196,close,order_34061859,deal_50682973
2018-04-12,6,12.50375,2018-04-12,100,,SH,601788,open,order_17894052,deal_47265983
2018-04-12,7,8.482543999999999,2018-04-12,100,,SH,601009,open,order_24758936,deal_97632084
2018-04-12,8,11.533459,2018-04-12,100,,SZ,000001,open,order_29670438,deal_95046187
2018-04-12,9,8.152445,2018-04-12,100,,SZ,000671,open,order_13742805,deal_26970814
2018-04-12,10,109.752916,2018-04-12,100,,SZ,002304,open,order_21780596,deal_65382970
2018-04-13,0,17.285184,2018-04-13,100,,SH,600406,open,order_74083516,deal_47018329
2018-04-13,1,8.192457,2018-04-13,100,,SH,601555,open,order_03486975,deal_50267193
2018-04-13,2,21.9714,2018-04-13,100,,SH,600518,close,order_53819206,deal_90531647
2018-04-13,3,32.719813,2018-04-13,100,,SH,601021,open,order_67043159,deal_26739018
2018-04-13,4,13.784134,2018-04-13,100,,SH,600188,open,order_53429718,deal_59864137
2018-04-13,5,26.067818,2018-04-13,100,,SZ,002411,open,order_81695243,deal_71958623
2018-04-13,6,11.333399,2018-04-13,100,,SH,600926,open,order_54768903,deal_15240763
2018-04-13,7,31.193140000000003,2018-04-13,100,,SZ,000002,close,order_59618704,deal_95817403
2018-04-13,8,9.972991,2018-04-13,100,,SH,601186,open,order_51806947,deal_85027913
2018-04-13,9,6.211862999999999,2018-04-13,100,,SZ,000898,open,order_78625310,deal_82340916
2018-04-13,10,41.49766,2018-04-13,100,,SZ,002294,close,order_32015784,deal_60182943
2018-04-13,11,7.152144999999999,2018-04-13,100,,SH,600886,open,order_74952061,deal_13402695
2018-04-13,12,13.529675,2018-04-13,100,,SZ,002024,close,order_87519602,deal_58671432
2018-04-13,13,9.462837999999998,2018-04-13,100,,SZ,000060,open,order_89062473,deal_54072316
2018-04-13,14,11.553465,2018-04-13,100,,SH,600837,open,order_23496750,deal_80621739
2018-04-13,15,31.219362999999998,2018-04-13,100,,SZ,000063,open,order_95634208,deal_51283946
2018-04-13,16,5.471641,2018-04-13,100,,SH,600705,open,order_49107283,deal_46238591
2018-04-13,17,29.558865,2018-04-13,100,,SH,600036,open,order_85169243,deal_59628074
2018-04-16,0,7.9796130000000005,2018-04-16,100,,SH,601555,close,order_09218734,deal_35061428
2018-04-16,1,15.786285,2018-04-16,100,,SZ,000776,close,order_59273801,deal_24671938
2018-04-16,2,19.880135,2018-04-16,100,,SZ,300144,close,order_36854172,deal_36291058
2018-04-16,3,3.981194,2018-04-16,100,,SZ,000425,open,order_23748059,deal_26041785
2018-04-16,4,13.092957000000002,2018-04-16,100,,SH,600895,close,order_75489123,deal_83206147
2018-04-16,5,6.281883999999999,2018-04-16,100,,SH,600583,open,order_43916780,deal_53921074
2018-04-16,6,21.126336000000002,2018-04-16,100,,SZ,002456,open,order_96140723,deal_64795830
2018-04-16,7,28.083443999999997,2018-04-16,100,,SH,600332,close,order_68234079,deal_81420963
2018-04-16,8,8.512552999999999,2018-04-16,100,,SH,600019,open,order_25903486,deal_30815697
2018-04-16,9,8.199327000000002,2018-04-16,100,,SH,600021,close,order_02641359,deal_57341269
2018-04-16,10,10.163048,2018-04-16,100,,SH,600390,open,order_05184732,deal_72498635
2018-04-16,11,55.226563,2018-04-16,100,,SZ,002008,open,order_36201894,deal_67439510
2018-04-16,12,11.205414000000001,2018-04-16,100,,SH,600837,close,order_16279304,deal_67205814
2018-04-16,13,17.637042,2018-04-16,100,,SH,600739,close,order_91307548,deal_31928406
2018-04-16,14,11.70351,2018-04-16,100,,SH,601111,open,order_26835741,deal_46803175
2018-04-16,15,13.349945,2018-04-16,100,,SZ,002424,close,order_16820379,deal_17508643
2018-04-17,0,15.796270000000002,2018-04-17,100,,SZ,000738,close,order_18764029,deal_32478916
2018-04-17,1,8.072420999999999,2018-04-17,100,,SZ,002065,open,order_21634980,deal_60928743
2018-04-17,2,16.99447,2018-04-17,100,,SZ,300070,close,order_52937806,deal_37209568
2018-04-17,3,7.722315999999999,2018-04-17,100,,SZ,000627,open,order_83164750,deal_36890541
2018-04-17,4,25.531644999999997,2018-04-17,100,,SZ,002044,close,order_90463251,deal_67503219
2018-04-17,5,11.065596000000001,2018-04-17,100,,SH,600926,close,order_12867453,deal_20467385
2018-04-17,6,88.80440399999999,2018-04-17,100,,SH,603160,close,order_50196438,deal_63401752
2018-04-17,7,7.658495,2018-04-17,100,,SZ,000686,close,order_95170824,deal_12786945
2018-04-17,8,59.79018,2018-04-17,100,,SZ,000423,close,order_40582139,deal_81340275
2018-04-17,9,16.468563,2018-04-17,100,,SH,600999,close,order_29061537,deal_72093486
2018-04-17,10,8.429028,2018-04-17,100,,SH,600019,close,order_68194305,deal_26493510
2018-04-17,11,6.451602,2018-04-17,100,,SH,601377,close,order_68719254,deal_96784013
2018-04-17,12,12.52119,2018-04-17,100,,SZ,000792,close,order_23560419,deal_30718542
2018-04-17,13,12.164166,2018-04-17,100,,SH,601788,close,order_47362519,deal_39286471
2018-04-17,14,23.897167,2018-04-17,100,,SZ,002468,open,order_07645319,deal_15842630
2018-04-17,15,9.947052000000001,2018-04-17,100,,SH,600390,close,order_06523189,deal_56289170
2018-04-17,16,51.013365,2018-04-17,100,,SZ,002008,close,order_05463791,deal_08529174
2018-04-17,17,9.276065000000003,2018-04-17,100,,SZ,000060,close,order_76239150,deal_41786320
2018-04-17,18,8.702609999999998,2018-04-17,100,,SH,600376,open,order_49106378,deal_46701258
2018-04-17,19,22.940139,2018-04-17,100,,SH,601607,close,order_86715920,deal_16257890
