,,account_id,available,pre_balance,total_balance
2018-08-13,1,test1_12769405,1000.0,0,1000.0
2018-08-14,0,test0_04716358,1664152.6473594964,0,1925846.9409054178
2018-08-14,1,test1_12769405,1000.0,0,1000.0
2018-08-15,0,test0_04716358,1573976.916866564,0,1919448.1693415795
2018-08-15,1,test1_12769405,1000.0,0,1000.0
2018-08-16,0,test0_04716358,1627213.4586492265,0,1917843.2551044694
2018-08-16,1,test1_12769405,1000.0,0,1000.0
2018-08-17,0,test0_04716358,1728290.0557215682,0,1910971.1462318802
2018-08-17,1,test1_12769405,1000.0,0,1000.0
2018-08-20,0,test0_04716358,1816055.0198620234,0,1911831.4030237694
2018-08-20,1,test1_12769405,1000.0,0,1000.0
2018-08-21,0,test0_04716358,1845254.6877658723,0,1913294.2628027427
2018-08-21,1,test1_12769405,1000.0,0,1000.0
2018-08-22,0,test0_04716358,1838715.670538457,0,1912654.0143797095
2018-08-22,1,test1_12769405,1000.0,0,1000.0
2018-08-23,0,test0_04716358,1816943.611984961,0,1913126.4805568869
2018-08-23,1,test1_12769405,1000.0,0,1000.0
2018-08-24,0,test0_04716358,1676633.8776818006,0,1913126.504087915
2018-08-24,1,test1_12769405,1000.0,0,1000.0
2018-08-27,0,test0_04716358,1516149.9745227809,0,1919886.7781293767
2018-08-27,1,test1_12769405,1000.0,0,1000.0
2018-08-28,0,test0_04716358,1454596.7015743486,0,1917935.6462331987
2018-08-28,1,test1_12769405,1000.0,0,1000.0
2018-08-29,0,test0_04716358,1419985.2296029609,0,1916983.5124329566
2018-08-29,1,test1_12769405,1000.0,0,1000.0
2018-08-30,0,test0_04716358,1422281.923664611,0,1912266.8247134567
2018-08-30,1,test1_12769405,1000.0,0,1000.0
2018-08-31,0,test0_04716358,1441783.5531398836,0,1905854.7539471057
2018-08-31,1,test1_12769405,1000.0,0,1000.0
2018-09-03,0,test0_04716358,1538102.2139631535,0,1906082.6924862831
2018-09-03,1,test1_12769405,1000.0,0,1000.0
2018-09-04,0,test0_04716358,1603768.174391549,0,1910969.1182798268
2018-09-04,1,test1_12769405,1000.0,0,1000.0
2018-09-05,0,test0_04716358,1735591.622036242,0,1905098.1089999538
2018-09-05,1,test1_12769405,1000.0,0,1000.0
2018-09-06,0,test0_04716358,1787073.7921708988,0,1904067.1501534418
2018-09-06,1,test1_12769405,1000.0,0,1000.0
